kauza	datum	medium	titulek	strana	rubrika	autor	delka
capihnizdo	15.03.2016	novinky.cz	Moje farma, psal Babiš už půl roku předtím, než ji oficiálně převzal Agrofert	00	Domácí	fia	6905
capihnizdo	15.03.2016	novinky.cz	Babiše nedáme, zní unisono z ANO. Oporu má ministr financí i na Hradě	00	Domácí	Karolina Brožová	5761
capihnizdo	15.03.2016	zpravy.iDNES.cz	Nesmysl, říká Sobotka o dřívějších volbách. Koalice projedná Čapí hnízdo	00	Zprávy / Domácí	iDNES.cz, ČTK	3281
capihnizdo	15.03.2016	lidovky.cz	KAMBERSKÝ: Budování Čapího hnízda? Dotační finta se nerýmuje s bojem proti korupci	00	Zprávy / Názory	Lidové noviny, Petr Kamberský	3262
capihnizdo	15.03.2016	lidovky.cz	Zprávy podle editora: mrtví živí v KLDR, nádobíčko falešného kominíka i Výborného konec	00	Zprávy / Domov	Lidovky.cz, Martin Prachař	5116
capihnizdo	15.03.2016	novinky.cz	KOMENTÁŘ: Co se mladí učí od nejvýraznějších politiků – Jiří Pehe	00	Komentáře	Jiří Pehe	2730
capihnizdo	15.03.2016	novinky.cz	Jdeme s dělem na komára, kritizovala senátorka EET	00	Domácí	zpe	1794
capihnizdo	14.03.2016	aktualne.cz	Mimořádná schůze Sněmovny k Čapímu hnízdu bude 23. března, Sobotka s Babišem jednat neplánuje	00	Politika	ČTK	5056
capihnizdo	14.03.2016	zpravy.iDNES.cz	Kauzu Čapí hnízdo bude řešit Sněmovna. Opozice chce po Babišovi odpovědi	00	Zprávy / Domácí	iDNES.cz, Jan Wirnitzer, iDNES.cz, Šárka Pálková, ČTK	4451
capihnizdo	14.03.2016	iHNed.cz	Je kauza Čapí hnízdo natolik závážná, že by měl ministr financí Andrej Babiš rezignovat?	00	nazory.ihned.cz	Jan Kubita	5215
capihnizdo	14.03.2016	iHNed.cz	Zeman s Babišem probere kauzu Čapí hnízdo, případ je podle něj kampaň médií. Mluvit budou i o posunutí voleb	00	domaci.ihned.cz	ČTK, lhp, heg	3307
capihnizdo	14.03.2016	zpravy.rozhlas.cz	Mimořádná schůze sněmovny k případu Čapího hnízda bude 23. března	00	/ politika	ČRo,Jaroslav Gavenda	3716
capihnizdo	14.03.2016	aktualne.cz	Úředníci si stěžovali na Babišova náměstka kvůli Čapímu hnízdu. Zřejmě přijdou o práci	00	Domácí	Petr Koděra	3487
capihnizdo	14.03.2016	lidovky.cz	Poslanci budou řešit Čapí hnízdo. Jde o kampaň médií, vzkázal Zeman k Babišově kauze	00	Zprávy / Domov	ČTK	3212
capihnizdo	14.03.2016	iHNed.cz	Vždycky je naděje na změnu k lepšímu	00	nazory.ihned.cz	Jiří Hlavenka	4691
capihnizdo	14.03.2016	novinky.cz	Mimořádná schůze k Čapímu hnízdu má být příští středu	00	Domácí		1441
capihnizdo	13.03.2016	lidovky.cz	DOKUMENT: Prohlášení Andreje Babiše k Farmě Čapí hnízdo	00	Zprávy / Domov	ČTK	8215
capihnizdo	13.03.2016	lidovky.cz	Babiš o Čapím hnízdě: ‚Nikdy jsem ho nevlastnil‘	00	Zprávy / Video	Lidovky.cz	325
capihnizdo	13.03.2016	zpravy.iDNES.cz	Nebylo moje, hájil se Babiš v kauze Čapí hnízdo a zval lidi na klokany	00	Zprávy / Domácí	iDNES.cz, Čeněk Třeček	3573
capihnizdo	13.03.2016	lidovky.cz	Babiš: Kdo vlastnil Čapí hnízdo v době dotace vím, ale neřeknu	00	Zprávy / Domov	Lidovky.cz, ČTK	4816
capihnizdo	13.03.2016	zpravy.rozhlas.cz	Babiš odmítl prozradit vlastníka Čapího hnízda z doby, kdy firma žádala o dotace	00	/ politika	ČRo, ČTK	3551
capihnizdo	13.03.2016	aktualne.cz	Babiš: Investora Čapího hnízda znám a neprozradím. Nic jsem neudělal, přijďte se podívat na surikaty	00	Domácí	Domácí	4509
capihnizdo	13.03.2016	novinky.cz	Čapí hnízdo? Je to kampaň mých nepřátel, prohlásil Babiš	00	Domácí	aš	4058
capihnizdo	13.03.2016	aktualne.cz	Babišovo ministerstvo tajně vyzvídalo v Bruselu údaje o Čapím hnízdu, tvrdí úředníci	00	Domácí	Domácí	4037
capihnizdo	13.03.2016	lidovky.cz	Úřednice z ministerstva financí vyzvídala v Bruselu údaje o Čapím hnízdu	00	Zprávy / Domov	ČTK	2824
capihnizdo	13.03.2016	iHNed.cz	Ministerstvo financí vyzvídalo v Bruselu údaje o Čapím hnízdu a lustrovalo e-maily zaměstnanců, tvrdí úředníci	00	domaci.ihned.cz	dom	3122
capihnizdo	13.03.2016	novinky.cz	Úřednice z ministerstva financí vyzvídala v Bruselu údaje o vyšetřování Čapího hnízda	00	Domácí		3536
capihnizdo	13.03.2016	lidovky.cz	Babiš: Schodek rozpočtu v příštím roce by měl být 60 miliard korun	00	Lidovky / Moje peníze	ČTK	1144
capihnizdo	13.03.2016	novinky.cz	Nikdo by neměl nosit šibenici, řekl Chovanec. Vnitro se proti rozhodnutí odvolá	00	Domácí	ok	2686
capihnizdo	13.03.2016	zpravy.iDNES.cz	Úřednice z ministerstva financí vyzvídala u vyšetřovatele Čapího hnízda	00	Zprávy / Domácí	iDNES.cz, ČTK	3148
capihnizdo	12.03.2016	iHNed.cz	Mimořádnou schůzi zvažuje už i ČSSD. Babiš musí do středy vysvětlit kauzu Čapí hnízdo	00	domaci.ihned.cz	ČTK, lou	2995
capihnizdo	12.03.2016	novinky.cz	Babiš musí do středy vysvětlit kauzu Čapí hnízdo, zní z ČSSD	00	Domácí		1952
capihnizdo	12.03.2016	zpravy.rozhlas.cz	ČSSD možná podpoří mimořádnou schůzi sněmovny kvůli Čapímu hnízdu	00	/ politika	ČRo,Tereza Bartůňková	3370
capihnizdo	12.03.2016	iHNed.cz	Čapí hnízdo v otázkách a odpovědích. Ano, jedna z mých firem ho vlastní, přiznal až nyní Babiš	00	domaci.ihned.cz	Radek Bartoníček	8115
capihnizdo	12.03.2016	aktualne.cz	Nejlepší Babišův nápad, největší problém. Čapí hnízdo v otázkách a odpovědích	00	Domácí	Radek Bartoníček	8802
capihnizdo	11.03.2016	aktualne.cz	Čapí hnízdo jsme si zašli i zkontrolovat. Vše má policie, říká šéf dotačního úřadu	00	Domácí	Radek Nohl	3011
capihnizdo	11.03.2016	iHNed.cz	Policie si z dotačního úřadu odnesla materiály k Čapímu hnízdu. Vzala si audity i dokumenty z kontrol	00	domaci.ihned.cz	Radek Nohl	4023
capihnizdo	11.03.2016	zpravy.iDNES.cz	Kvůli Babišovu Čapímu hnízdu chtějí ODS a TOP 09 mimořádnou schůzi	00	Zprávy / Domácí	iDNES.cz, Josef Kopecký	4991
capihnizdo	11.03.2016	zpravy.iDNES.cz	Anonymní akcie, dotace, kritika auditorů. Časová osa kauzy Čapí hnízdo	00	Zprávy / Domácí	iDNES.cz, Jan Wirnitzer	7862
capihnizdo	11.03.2016	zpravy.rozhlas.cz	TOP 09 a ODS chtějí mimořádnou schůzi sněmovny k Čapímu hnízdu	00	/ politika	ČTK, ČRo	4296
capihnizdo	11.03.2016	lidovky.cz	Presumpce viny? TOP 09 a ODS chce mimořádnou schůzi k Čapímu hnízdu	00	Zprávy / Domov	ČTK	3779
capihnizdo	11.03.2016	aktualne.cz	Zeman: Kauzu Čapí hnízdo nesleduji, nemá hodnotu ani miliardu. Mimořádnou schůzi zvažuje už i ČSSD	00	Domácí	ČTK	3796
capihnizdo	11.03.2016	iHNed.cz	Šéf OLAFu, který prověřuje i Babišovo Čapí hnízdo, ztratil imunitu. Může se dostat před belgický soud	00	zahranicni.ihned.cz	Anna Jordanová	4970
capihnizdo	11.03.2016	iHNed.cz	Babišovi cifršpioni zajistili loni rekordních 5,5 miliardy korun. Podvodníkům s DPH zabavili téměř miliardu	00	domaci.ihned.cz	pno	1536
capihnizdo	11.03.2016	novinky.cz	Premiér strká v kauze Čapí hnízdo hlavu do písku, říká Fiala a chce mimořádnou schůzi Sněmovny	00	Domácí	zpe	2716
capihnizdo	10.03.2016	lidovky.cz	ČSSD: Kauza kolem Čapího hnízda je vážná, Babiš ji musí vysvětlit	00	Zprávy / Domov	ČTK	3405
capihnizdo	10.03.2016	iHNed.cz	Babiš se zamotává, kauzu Čapího hnízda musí vysvětlit, žádají šéfové parlamentu a sociální demokraté	00	domaci.ihned.cz	ČTK, riz	4279
capihnizdo	10.03.2016	zpravy.rozhlas.cz	Babiš by měl kauzu kolem Čapího hnízda vysvětlit, říká ČSSD. ODS chce reakci premiéra	00	/ politika	ČTK	3997
capihnizdo	10.03.2016	aktualne.cz	Babiš se do kauzy Čapího hnízda zamotává jako do sítí. Měl by vše vysvětlit, zní z ČSSD	00	Politika	ČTK	4378
capihnizdo	10.03.2016	novinky.cz	Kauza Čapí hnízdo by se mohla týkat i náměstka ČSSD Novotného, podotkl Fiala	00	Domácí	zpe	2977
capihnizdo	10.03.2016	novinky.cz	Tak jak, pane ministře? Kdo tady lže? ODS se v klipu obouvá do Babiše	00	Domácí	tin, zpe	3317
capihnizdo	10.03.2016	lidovky.cz	Snížil mnohamilionovou pokutu Čapího hnízda na procento. Teď je náměstkem	00	Zprávy / Domov	Lidovky.cz, Pavlína Kindlová	1812
capihnizdo	10.03.2016	novinky.cz	Auditoři konferenčního centra Čapí hnízdo zpochybnili jeho pozitivní vliv na životní prostředí	00	Domácí	Jakub Troníček	7187
capihnizdo	10.03.2016	iHNed.cz	Česko: Země Čapích hnízd	00	nazory.ihned.cz	David Klimeš	423
capihnizdo	09.03.2016	novinky.cz	Babiš: Čapí hnízdo není moje, vůbec se mě to netýká	00	Domácí	Barbora Zpěváčková	3297
capihnizdo	09.03.2016	novinky.cz	Fiala: Babiš by měl kvůli Čapímu hnízdu vyvodit osobní zodpovědnost	00	Domácí	kab	3176
capihnizdo	09.03.2016	novinky.cz	Babišovo Čapí hnízdo dostalo pokutu šest miliónů. Nakonec platil jen 37 tisíc	00	Domácí		2831
capihnizdo	09.03.2016	iHNed.cz	Babišovo Čapí hnízdo dostalo před lety pokutu 6 milionů za čerpání dotací. Agrofert informaci odmítá	00	domaci.ihned.cz	ČTK, vku	5654
capihnizdo	09.03.2016	aktualne.cz	Agrofert dostal pokutu šest milionů za nakládání s dotacemi na Čapí hnízdo, zaplatil jen 37 tisíc	00	Domácí	Domácí, ČTK	3903
capihnizdo	09.03.2016	lidovky.cz	Čapí hnízdo v dotacích chybovalo. Už v roce 2011 dostalo pokutu šest milionů	00	Zprávy / Domov	Lidovky.cz	2531
capihnizdo	09.03.2016	zpravy.rozhlas.cz	Agrofert odmítl, že měl platit pokutu za dotace na Čapí hnízdo	00	/ politika		2264
capihnizdo	06.03.2016	zpravy.iDNES.cz	Čapí hnízdo? To je věc Babiše, řekl Zaorálek. ČSSD se prý „nepodělala“	00	Zprávy / Domácí	iDNES.cz, Pavla Kubištová	2709
capihnizdo	05.03.2016	novinky.cz	Podnikatelský doping v politice musí skončit, říká Chovanec	00	Domácí	Karolina Brožová	5873
capihnizdo	04.03.2016	novinky.cz	Sobotka zaútočil na Babišovu trojí moc, přímo ho ale nejmenoval	00	Domácí	Naďa Adamičková, Marie Königová	2994
capihnizdo	03.03.2016	aktualne.cz	Řešte Babišovo Čapí hnízdo, vyzvala premiéra opozice. Není to věc vlády, ale Babiše, opáčil Sobotka	00	Domácí	Lucie Stuchlíková, Radek Bartoníček	2723
capihnizdo	02.03.2016	novinky.cz	Vyšetřování zahájeno. Babišovo Čapí hnízdo v hledáčku Evropského úřadu pro boj proti podvodům	00	Domácí		2008
capihnizdo	02.03.2016	aktualne.cz	Evropský úřad začal oficiálně vyšetřovat dotaci pro Babišovo Čapí hnízdo. Jde o 50 milionů	00	Domácí	Domácí	2491
capihnizdo	02.03.2016	iHNed.cz	Brusel vyšetřuje, jak Babišův Agrofert získal 50 milionů na Čapí hnízdo	00	domaci.ihned.cz	ČTK, dap	2535
capihnizdo	02.03.2016	lidovky.cz	Brusel spustil oficiální vyšetřování Čapího hnízda. Hrozí vracení dotací	00	Zprávy / Domov	ČTK	1834
capihnizdo	02.03.2016	zpravy.rozhlas.cz	Úřad pro boj proti podvodům prošetřuje jednu z firem Agrofertu kvůli evropským dotacím	00	/ politika	Ondřej Houska, ČRo	2448
capihnizdo	25.02.2016	novinky.cz	V Praze se protestovalo proti Babišovi	00	Domácí	Jiří Mach	3079
capihnizdo	20.02.2016	iHNed.cz	Jindřich Šídlo: Co se čtenář Financial Times dozvěděl o světě podle Babiše	00	nazory.ihned.cz	Jindřich Šídlo	3919
capihnizdo	13.02.2016	novinky.cz	Bruselští hlídači dotací šetří dva projekty vnitra z dob Ivana Langra	00	Domácí	Jakub Troníček	3681
capihnizdo	29.01.2016	iHNed.cz	Babišova hvězda se topí v pivu, ale jinak krásně stoupá	00	nazory.ihned.cz	Jan Kubita	4448
capihnizdo	22.01.2016	novinky.cz	Údajný dotační podvod v Babišově Čapím hnízdě bere policie vážně	00	Krimi	Jakub Troníček	2594
capihnizdo	22.01.2016	lidovky.cz	Důvodné podezření z trestného činu. Policie prošetřuje dotace na Čapí hnízdo	00	Zprávy / Domov	Lidovky.cz	1911
capihnizdo	22.01.2016	zpravy.iDNES.cz	Babiš se pustil do Valenty. Smlouvu s fotbalem označil za vyděračskou	00	Zprávy / Domácí	iDNES.cz, Josef Kopecký	4016
capihnizdo	05.01.2016	novinky.cz	Evropský úřad proti podvodům řeší dotace pro Agrofert	00	Domácí		2731
capihnizdo	05.01.2016	aktualne.cz	Evropský úřad proti podvodům řeší Agrofert. Anonym popsal skrytý lobbing ve státní správě	00	Domácí		3784
capihnizdo	04.01.2016	novinky.cz	Policie prověřuje Babišovo Čapí hnízdo pro podezření z dotačního podvodu	00	Domácí	zpe	1895
capihnizdo	29.12.2015	aktualne.cz	Policie začala prověřovat, jak dostal Andrej Babiš dotace na své Čapí hnízdo	00	Domácí		3262
capihnizdo	29.12.2015	lidovky.cz	Policie prověřuje dotaci Babišova Čapího hnízda. Peníze možná dostalo neprávem	00	Zprávy / Domov	ČTK	2568
capihnizdo	25.11.2015	novinky.cz	Kvůli dotaci na Babišovo Čapí hnízdo podal anonym trestní oznámení	00	Domácí	Jakub Troníček	3686
capihnizdo	25.11.2015	lidovky.cz	Babišovo Čapí hnízdo prý získalo dotaci podvodem. Anonym podal trestní oznámení	00	Zprávy / Domov	Lidovky.cz	1752
capihnizdo	25.11.2015	zpravy.iDNES.cz	Babišova farma získala dotaci podvodem, tvrdí anonym. Podal trestní oznámení	00	Zprávy iDNES.cz / Domácí ekonomika	MF DNES, Martin Petříček	3441
capihnizdo	25.11.2015	lidovky.cz	Výběr zpráv podle editora: Kde dostal Su-24 zásah? Ďábelské Česko i hašišový terorista	00	Zprávy / Domov	Lidovky.cz, Martin Samek	4775
dluhopisy	28.02.2017	Lidové noviny	Registr smluv zmizel z pořadu ČT	01	Titulní strana	ONDŘEJ KOUTNÍK	4503
dluhopisy	26.02.2017	iHNed.cz	Babiše bychom měli žalovat. Ztráta důvěryhodnosti by byl konec nezávislosti ČT, říká Wollner	00		Ondřej Kundra	16407
dluhopisy	26.02.2017	aktualne.cz	Babiš představil svůj sen o Česku. Chce snížit daně i byrokracii, změnit se musí i vedení ANO	00	Zprávy	Veronika Neprašová	4473
dluhopisy	25.02.2017	iHNed.cz	Babiš: Pořád jsme sami proti všem, premiérem bych byl jen ve vládě, kterou můžu řídit	00		red	288
dluhopisy	25.02.2017	Mladá fronta DNES	Slováci jdou po Křetínském	09	Ekonomika	Jan Brož	9491
dluhopisy	24.02.2017	lidovky.cz	KAMBERSKÝ: ČSSD nehájí pracující. Ve skutečnosti nahrává Kellnerovi, Babišovi a Bakalovi	00	Zprávy / Názory	Lidové noviny, Petr Kamberský	4817
dluhopisy	24.02.2017	Hospodářské noviny	ANDREJ JE STRANA, ANDREJ JE VLÁDA…	09	Názory	Petr Honzejk	4926
dluhopisy	23.02.2017	zpravy.rozhlas.cz	Ministerstvo financí navrhuje daňovou úlevu pro svěřenské fondy. Neměla by na mě dopad, tvrdí Babiš	00	ekonomika	Jana Klímová	3929
dluhopisy	23.02.2017	novinky.cz	Očima Saši Mitrofanova: Budoucnost jako upravené sídliště	00	Komentáře	Alexandr Mitrofanov	2572
dluhopisy	23.02.2017	zpravy.rozhlas.cz	‚Českou televizi ovládá banda kolem TOP 09.‘ Prezident kritizoval veřejnoprávní televizi	00	domaci	jra	5564
dluhopisy	23.02.2017	Právo	Tichá pošta	06	Publicistika	Lukáš Jelínek	2874
dluhopisy	23.02.2017	Lidové noviny	ČSSD, strana kapitálu	10	Názory	PETR KAMBERSKÝ	4975
dluhopisy	22.02.2017	Právo	Babiš se Sobotkovi vysmál a připomenul mu OKD	04	Zpravodajství	(zpe, Novinky.cz, ČTK)	3178
dluhopisy	22.02.2017	info.cz	Sobotka tlačí Babiše doprava. Chce tak podkopat základ úspěchu hnutí ANO	00	Česko	Vratislav Dostál	7113
dluhopisy	21.02.2017	zpravy.iDNES.cz	Nic proti zákonům, hájil Babiš dluhopisy. Sobotkovi na oplátku vytkl OKD	00	Zprávy / Domácí	iDNES.cz, Josef Kopecký, iDNES.cz, Jolana Radinová	3850
dluhopisy	21.02.2017	Lidové noviny	Babiš navrhl, jak zdanit dluhopisy	04	Domov	čtk, dom	1215
dluhopisy	21.02.2017	Právo	Babiš navrhl ve Sněmovně zdanění korunových dluhopisů	03	Zpravodajství	(svj, ČTK)	2897
dluhopisy	21.02.2017	lidovky.cz	Sobotkovi vyjádření Babiše nestačí. Ohledně dluhopisů se obrátí přímo na daňovou správu	00	Zprávy / Domov	ČTK	2784
dluhopisy	21.02.2017	novinky.cz	Babiš odepsal Sobotkovi kvůli dluhopisům: A co vaše privatizace OKD?	00	Domácí	zpe	2037
dluhopisy	21.02.2017	aktualne.cz	Úřady korunové dluhopisy prověřovat nebudou, odpověděl Babiš Sobotkovi na jeho výzvu	00	Domácí	ČTK	2447
dluhopisy	21.02.2017	iHNed.cz	Sobotka bude jednat s daňovou správou o korunových dluhopisech. Dopis od Babiše mu nestačí	00		ČTK, tum	4082
dluhopisy	21.02.2017	info.cz	Babiš odpovídá Sobotkovi. Danění korunových dluhopisů úřady plošně kontrolovat nebudou	00	Česko	ČTK,raz	2273
dluhopisy	21.02.2017	lidovky.cz	Babišova odpověď Sobotkovi: Korunové dluhopisy se prověřovat nebudou	00	Lidovky / Státní pokladna	ČTK	3595
dluhopisy	21.02.2017	Právo	Šéf ANO zveřejnil doklad, že dluhopisy zaplatil	03	Zpravodajství	(rsk)	1031
dluhopisy	21.02.2017	aktualne.cz	Sobotka chce korunové dluhopisy řešit s daňovou správou, Babišova odpověď mu nestačí	00	Ekonomika	ČTK	2880
dluhopisy	21.02.2017	Mladá fronta DNES	Dluhopisy zdaní jen ti, kdo je mají od svých firem – jako Babiš	07	Ekonomika	— Jitka Vlková	1895
dluhopisy	21.02.2017	zpravy.rozhlas.cz	Sobotka chce, aby mu daňová správa vysvětlila Babišův nákup dluhopisů	00	domaci	ČTK	3543
dluhopisy	21.02.2017	info.cz	Babišovo zdůvodnění nestačí. Sobotka chce o korunových dluhopisech jednat s daňovou správou	00	Česko	ČTK,luš	2122
dluhopisy	21.02.2017	Hospodářské noviny	Babiš navrhl zdanit sám sebe kvůli dluhopisové kauze	04	Události	Veronika Neprašová	2618
dluhopisy	21.02.2017	zpravy.rozhlas.cz	Babišův dopis Sobotkovi. Nic nezákonného se nestalo, odepisuje o kauze korunových dluhopisů	00	domaci	Veronika Malá, ČRo	3104
dluhopisy	21.02.2017	info.cz	3 důležité věci z domova, které byste dnes měli vědět	00	Česko	Info.cz,sta	1809
dluhopisy	21.02.2017	novinky.cz	Kalousek: Babiš si bere dárce krve jako rukojmí	00	Domácí	zpe	1800
dluhopisy	21.02.2017	novinky.cz	Sobotkovi Babišův dopis nestačí, bude chtít další vysvětlení k nákupu dluhopisů	00	Domácí	bja	2290
dluhopisy	21.02.2017	info.cz	S prací některých kolegů ve vedení ANO nejsem spokojen, říká před sněmem hnutí Andrej Babiš	00	Česko	Vratislav Dostál	5438
dluhopisy	21.02.2017	iHNed.cz	Chtěl po mně, abych ho nechal zprivatizovat benešovskou školu, říká o Babišovi trestně stíhaný David Rath	00		Jiří Pšenička, Jan Štětka	6143
dluhopisy	21.02.2017	info.cz	3 důležité věci z domova, které se dějí právě teď	00	Česko	ekb,Info.cz	2105
dluhopisy	21.02.2017	iHNed.cz	Daňové návrhy ČSSD: Jánošíku, vstávej, bude mejdan!	00		Petr Honzejk	3317
dluhopisy	21.02.2017	info.cz	Babiš, součást matrixu. Komentář Lukáše Kovandy	00	Názory	Lukáš Kovanda (pro E15)	3004
dluhopisy	21.02.2017	zpravy.rozhlas.cz	ČSSD navrhuje progresivní zdanění. Víc mají zaplatit lidé s příjmem nad 50 tisíc hrubého	00	domaci	ČTK	5053
dluhopisy	21.02.2017	zpravy.rozhlas.cz	Zvýšit daně bohatým je návrat do normalizace, odnese to střední třída, říká ekonom	00	ekonomika	Kristýna Novotná	4951
dluhopisy	21.02.2017	iHNed.cz	Sobotka chce snížit lidem s průměrnými příjmy o tisícovku daně, bohatší mají naopak zaplatit více	00		Martin Ťopek	5166
dluhopisy	21.02.2017	Hospodářské noviny	ANO v Liberci do voleb zřejmě povede pekař Bláha	04	Události	Kateřina Frouzová	3794
dluhopisy	21.02.2017	zpravy.rozhlas.cz	Babišův resort je proti zvyšování platů policistů a hasičů. Neúcta, kritizuje to Chovanec	00	domaci	ČTK	3843
dluhopisy	20.02.2017	Mladá fronta DNES	Babiš: Takhle zdaním firemní dluhopisy	01	Titulní strana	Jitka Vlková	2302
dluhopisy	20.02.2017	info.cz	Babiš navrhl zdanit korunové dluhopisy. Dotkne se to i jeho samotného	00	Česko	ČTK,lup	1919
dluhopisy	20.02.2017	aktualne.cz	Babiš navrhl zdanění korunových dluhopisů, sněmovna má o návrhu jednat ještě v únoru	00	Ekonomika	ČTK, Veronika Neprašová	3452
dluhopisy	20.02.2017	zpravy.iDNES.cz	Babiš zveřejnil potvrzení banky, že dluhopisy koupila za peníze z jeho účtu	00	Zprávy / Domácí	iDNES.cz, Josef Kopecký	3540
dluhopisy	20.02.2017	lidovky.cz	Babiš zaplatí zpětně. Navrhl zdanění dluhopisů koupených od vlastních firem	00	Lidovky / Státní pokladna	ČTK	3600
dluhopisy	20.02.2017	zpravy.rozhlas.cz	Babiš podal návrh na zdanění korunových dluhopisů. Změna má platit od příštího roku	00	domaci	ČTK	3659
dluhopisy	20.02.2017	iHNed.cz	Babiš podal do sněmovny návrh na zdanění korunových dluhopisů. Týkalo by se i jeho	00		ČTK, Veronika Neprašová	3842
dluhopisy	20.02.2017	novinky.cz	Babiš ukázal potvrzení z banky, že na nákup dluhopisů měl	00	Domácí	bja	2084
dluhopisy	20.02.2017	info.cz	3 důležité věci, které se dějí v Česku právě teď	00	Česko	kris	2451
dluhopisy	20.02.2017	novinky.cz	Navrhl jsem zdanit sám sebe, tvrdí Babiš	00	Domácí	zpe, tov	4273
dluhopisy	20.02.2017	zpravy.rozhlas.cz	Babiš: Sobotka má asi nové americké poradce. Radí mu, aby na mě útočil	00	domaci	Český rozhlas, dab	3957
dluhopisy	20.02.2017	iHNed.cz	Komentář Petra Honzejka: Sobotkovo pokrytectví. Mluví o obraně liberální demokracie a otevírá dveře komunistům	00		Petr Honzejk	4888
dluhopisy	20.02.2017	iHNed.cz	Mládka nejspíš vystřídá Prouza. Jako státní tajemník by kvůli prověrce skončil, ve vládě se bez ní obejde	00		Lukáš Prchal	3568
dluhopisy	20.02.2017	iHNed.cz	Sobotka odvolá Mládka kvůli mobilním operátorům. Premiér podlehl Babišově kampani a PR poradcům, brání se ministr	00		tru, ČTK, Veronika Neprašová, Lukáš Prchal	7766
dluhopisy	20.02.2017	Mladá fronta DNES	Konec daňového ráje“	09	Ekonomika	Jitka Vlková	7601
dluhopisy	18.02.2017	novinky.cz	Kalousek: Babišův úmysl zdanit domácnostem dluhopisy je lumpárna	00	Domácí	Naďa Adamičková, Marie Königová	6472
dluhopisy	18.02.2017	zpravy.rozhlas.cz	Babiš: Sprostě o mně mluví na veřejnosti, další vládu se Sobotkou si dokážu představit jen stěží	00	domaci	kno	3143
dluhopisy	18.02.2017	info.cz	Právník Aleš Rozehnal: Babiš zákon neobešel ani nezneužil. Jen se zachoval nemravně	00	Česko	Aleš Rozehnal	1775
dluhopisy	18.02.2017	novinky.cz	Babiš: Další vládu se Sobotkou si už těžko umím představit	00	Domácí	Jan Rovenský	7017
dluhopisy	18.02.2017	Právo	Babiš: Další vládu se Sobotkou si už těžko umím představit	01	Titulní strana	Jan Rovenský	15532
dluhopisy	18.02.2017	Právo	Když dva dělají totéž	06	Publicistika	Alexandr Mitrofanov	1865
dluhopisy	18.02.2017	Mladá fronta DNES	Sobotka zdrsněl, bojí se oslabení uvnitř ČSSD	02	Z domova	Ondřej Leinert	4296
dluhopisy	17.02.2017	Právo	Kalousek: Babišův úmysl zdanit domácnostem dluhopisy je lumpárna	01	Titulní strana	Naďa Adamičková, Marie Königová	6495
dluhopisy	17.02.2017	Lidové noviny	Nešidíte na daních? píše Sobotka Babišovi	03	Domov	čtk	2534
dluhopisy	17.02.2017	Mladá fronta DNES	Neobešel jste daně? ptá se Sobotka v dopise Babiše	05	Z domova	(ČTK)	695
dluhopisy	17.02.2017	Hospodářské noviny	BABIŠ JE POKRYTEC	12	Rozhovor	Luboš Kreč, Petr Honzejk	12912
dluhopisy	17.02.2017	info.cz	Babiš v Mečiarových stopách. Komentář Bohumila Pečinky	00	Názory	Bohumil Pečinka (Reflex)	2938
dluhopisy	17.02.2017	Právo	Zasáhla už Finanční správa? ptá se Sobotka šéfa ANO	03	Zpravodajství	(zr, ČTK)	2099
dluhopisy	17.02.2017	novinky.cz	KOMENTÁŘ: Levicový prezident hájí poplatky za hospitalizaci – Jiří Pehe	00	Komentáře	Jiří Pehe	2886
dluhopisy	16.02.2017	zpravy.rozhlas.cz	Sobotka píše Babišovi kvůli dluhopisům. Měl by si zamést před vlastním prahem, reagoval ministr	00	domaci	ČTK	3360
dluhopisy	16.02.2017	Hospodářské noviny	Nechte prověřit vaše dluhopisy, píše Sobotka Babišovi	04	Události	Martin Ťopek	3972
dluhopisy	16.02.2017	novinky.cz	Sobotka poslal Babišovi dopis kvůli dluhopisům. Absurdní šaškárna, kontruje šéf ANO	00	Domácí	zpe	2981
dluhopisy	16.02.2017	aktualne.cz	Sobotka píše Babišovi: Nechte prověřit své dluhopisy, jste zodpovědný za řádné vybírání daní	00	Domácí	Martin Ťopek	4067
dluhopisy	16.02.2017	info.cz	„Nevyhýbal jste se placení daní?“ Přečtěte si, co Sobotka píše Babišovi kvůli nedaněným dluhopisům	00	Česko	ČTK,lup	2402
dluhopisy	16.02.2017	lidovky.cz	‚Nevyhnul jste se daním?‘ Sobotka se ptá Babiše, zda finanční správa prověřovala dluhopisy	00	Zprávy / Domov	ČTK	3540
dluhopisy	16.02.2017	zpravy.iDNES.cz	Neobešel jste daně? ptá se Sobotka. Ať spíš vysvětlí škodu v OKD, řekl Babiš	00	Zprávy / Domácí	iDNES.cz, Josef Kopecký	3894
dluhopisy	16.02.2017	Právo	Z redakční pošty	06	Publicistika		2140
dluhopisy	16.02.2017	iHNed.cz	Exsenátorovi za ODS Novákovi hrozí v kauze ROP Severozápad přes 13 let vězení. Policie ho chce stíhat kvůli šesti trestným činům	00		ČTK, lek	2559
dluhopisy	16.02.2017	iHNed.cz	Česká policie minulý rok chytila výrazně méně cizinců, kteří byli v zemi nelegálně. Bylo jich 5000, většina z Ukrajiny	00		Jan Menšík, ČTK	3176
