kauza	datum	medium	titulek	strana	rubrika	autor	delka
capihnizdo	01.04.2016	Právo	TOP 09 chce ve volbách prorazit silou rozumu	02	Zpravodajství	Oldřich Danda	3007
capihnizdo	01.04.2016	Hospodářské noviny	Průšvih ČSSD, dárek pro Babiše a Zemana	08	Názory	Petr Honzejk	2794
capihnizdo	31.03.2016	Mladá fronta DNES	V dubnu kraj navštíví prezident	13	Střední Čechy	(ANO).	455
capihnizdo	31.03.2016	Lidové noviny	Dejte císaři, co je císařovo	10	Názory	PETR KAMBERSKÝ	5451
capihnizdo	29.03.2016	Právo	Lidovecké tradice a vládní kredit	06	Publicistika	Lukáš Jelínek	3052
capihnizdo	26.03.2016	Lidové noviny	Bělobrádek rozdmýchal hádku o Čapí hnízdo	05	Domov	KATEŘINA SURMANOVÁ	2859
capihnizdo	26.03.2016	Mladá fronta DNES	Poučení z krizového vývoje kolem Čapího hnízda	14	Názory	Miroslav Korecký	3845
capihnizdo	26.03.2016	Právo	Že akcie měly Babišovy děti? Irelevantní, říkají experti	04	Zpravodajství	Jakub Troníček	5072
capihnizdo	26.03.2016	Právo	Mezi Babišem a Bělobrádkem to jiskří	02	Zpravodajství	(zr, ČTK)	5223
capihnizdo	26.03.2016	Mladá fronta DNES	Sobotní zápisník z Malé Strany	15	Názory	Miroslav Korecký	2537
capihnizdo	26.03.2016	Právo	Odplata	06	Publicistika	Josef Koukal	2327
capihnizdo	26.03.2016	Právo	Babiš: Pokud by se prokázal podvod, odejdu. Ale vylučuji to	01	Titulní strana	Naďa Adamičková Marie Königová	14677
capihnizdo	26.03.2016	Právo	Pomlázka chudá a bolestivá	06	Publicistika	Lukáš Jelínek	2877
capihnizdo	24.03.2016	Mladá fronta DNES	Babiš: Hnízdo bylo mých dětí	01	Titulní strana	Ondřej Leinert	4047
capihnizdo	24.03.2016	Mladá fronta DNES	Manažer z hnízda	03	Z domova	Karel Hrubeš	5094
capihnizdo	24.03.2016	Lidové noviny	Mimozemšťan	01	Titulní strana	MARTIN ZVĚŘINA	1160
capihnizdo	24.03.2016	Právo	Na Čapí hnízdo vemte s klokánky i své děti, radí z fondu	02	Zpravodajství	Jan Martinek	1824
capihnizdo	24.03.2016	Právo	Na vilu nešla ani koruna z dotačních peněz, hájí se ministr	02	Zpravodajství	Jakub Troníček	3819
capihnizdo	24.03.2016	Právo	Babiš nepřesvědčil, shodují se právníci	02	Zpravodajství	Jakub Bartosz	2072
capihnizdo	24.03.2016	Hospodářské noviny	Babiš přiznal, že farma patřila jeho rodině. Podezření z podvodu zůstalo	06	Události	Luboš Kreč, Petr Koděra	3257
capihnizdo	24.03.2016	Lidové noviny	Čapí hnízdo prodělává. Zatím	04	Domov	dom	1668
capihnizdo	24.03.2016	Mladá fronta DNES	Malé firmy velkých boháčů	02	Z domova	Zuzana Kubátová, Martin Petříček, Jitka Vlková	4659
capihnizdo	24.03.2016	Lidové noviny	Na mušku si vzal oponenty, od Bakaly po Janouška	04	Domov	oko	2852
capihnizdo	24.03.2016	Právo	Z tajemných vlastníků Hnízda se vyklubali Babišovi blízcí	01	Titulní strana	Naďa Adamičková, Marie Königová	6335
capihnizdo	24.03.2016	Lidové noviny	Babiš se bránil útokem	01	Titulní strana	KATEŘINA SURMANOVÁ TOMÁŠ TOMÁNEK	6500
capihnizdo	24.03.2016	Právo	Autoportrét	06	Publicistika	Josef Koukal	2415
capihnizdo	24.03.2016	Mladá fronta DNES	Tady je Babišovo, říkají i ti, kteří pole neprodali	03	Z domova	— Václav Janouš	1410
capihnizdo	24.03.2016	Lidové noviny	Sobotka: Já ani parlament nemůžeme suplovat policii	04	Domov	tmn, kms	2723
capihnizdo	24.03.2016	Právo	Průzkum: Byl to podvod, soudí skoro třetina lidí	02	Zpravodajství	(zr, ČTK)	874
capihnizdo	24.03.2016	Lidové noviny	Proti všem	08	Názory	Petr Kamberský	2429
capihnizdo	24.03.2016	Lidové noviny	Evropa ohrožuje sama sebe. Vymírá	09	Názory	KATEŘINA SURMANOVÁ ONDŘEJ KOUTNÍK	12196
capihnizdo	23.03.2016	Právo	Babiš bude dnes vysvětlovat Čapí hnízdo před poslanci	03	Zpravodajství	Jakub Troníček	5210
capihnizdo	23.03.2016	Hospodářské noviny	Babiše čeká „grilování“ kvůli Čapímu hnízdu	10	Názory	Lucie Stuchlíková	3572
capihnizdo	23.03.2016	Právo	Pravice se chystá hlavně na Sobotku	03	Zpravodajství	(ada, kab, nig)	3101
capihnizdo	23.03.2016	Mladá fronta DNES	ČSSD a Babiš se přou, kdo si začal	06	Z domova	Ondřej Leinert	3759
capihnizdo	23.03.2016	Lidové noviny	ANO u Macochy	10	Názory	Martin Zvěřina	2297
capihnizdo	23.03.2016	Lidové noviny	Koalice vře. Kvůli „střetu zájmů“	07	Domov	KATEŘINA SURMANOVÁ	5563
capihnizdo	22.03.2016	Právo	Akcie Čapího hnízda prý drželi Babišovi právníci	02	Zpravodajství	(ČTK)	1747
capihnizdo	22.03.2016	Hospodářské noviny	Komplikace pro Babiše: Čapí hnízdo odhání byznysmeny od hnutí ANO	03	Události	Lucie Stuchlíková, Radek Bartoníček	4108
capihnizdo	22.03.2016	Mladá fronta DNES	Lex Babiš může vládu ohrozit více než Čapí hnízdo	17	Názory	— Miroslav Korecký	1343
capihnizdo	22.03.2016	Právo	Podvod i pokrytectví v kauze Čapí hnízdo	07	Publicistika	Radim Bureš	3772
capihnizdo	22.03.2016	Lidové noviny	Pro schůzi o Čapím hnízdě bude hlasovat i ANO	02	Domov	dom, čtk	2405
capihnizdo	22.03.2016	Lidové noviny	Vysvětlete nejen farmu, žádá Babiše iniciativa	02	Domov	dom, čtk	2388
capihnizdo	22.03.2016	Hospodářské noviny	NÁZORY	08	Názory		1575
capihnizdo	22.03.2016	Lidové noviny	Ohrožujete koalici, varuje ANO své partnery	02	Domov	dom, čtk	2484
capihnizdo	22.03.2016	Právo	ANO vydírá ČSSD: podporou „Lex Babiš“ koalice skončí	02	Zpravodajství	Jan Martinek	2492
capihnizdo	22.03.2016	Mladá fronta DNES	Přes billboard či nástěnku do čela politické přípravky	02	Z domova	Ondřej Leinert	4976
